name,description,url,image
ray work,Swivel chair 9220,/en/products/ray-work-swivel-chair/?variant=9220,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/brunner_ray_work_9220_midnight_blue_mit_rollen_im_product_grid.jpg.webp?itok=1BAJM3gj
ray,Conference chair 9252,/en/products/ray-conference-swivel-chair/?variant=9252,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63465_lm_product_grid_0000_ray_9252A_XL.jpg.webp?itok=k9dpQZwE
A-Chair,Stacking chair 9708,/en/products/a-chair-stacking-chair/?variant=9708,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63142_lm_product_grid_0002_A_Chair_9708_XL.jpg.webp?itok=y88AFxuR
nate s,Stacking chair 7702,/en/products/nate-s-stacking-chair/?variant=7702,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90470_lm_product_grid_nate_s_7702_ohne_Schatten_XL.jpg.webp?itok=LzX5mPdM
nate,Stacking chair 7602,/en/products/nate-stacking-chair/?variant=7602,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90333_lm_product_grid_nate_7602_ohne_Schatten_XL.jpg.webp?itok=WIfvv-KT
crona,chair with armrests 6367,/en/products/crona-chair-with-armrests/?variant=6367,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63207_lm_product_grid_0004_crona_6367A_XL.jpg.webp?itok=VL4eQ2zM
crona light,Chair with armrests 6311,/en/products/crona-light-chair-with-armrests/?variant=6311,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63220_lm_product_grid_0003_crona_light_6311A_black_cherry_XL.jpg.webp?itok=wlwekBBF
scoop,Shell chair 4813,/en/products/scoop-shell-chair/?variant=4813,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/4813-115453_brunner_scoop_4813_im_product_grid_xl.jpg.webp?itok=zzsQk3OR
invite,Upholstered chair 5924,/en/products/invite-upholstered-chair/?variant=5924,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/5924-110333_brunner_invite_5924_im_product_grid_xl.jpg.webp?itok=at46DqtB
halm,Stacking chair 3854,/en/products/halm-stacking-chair/?variant=3854,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63379_lm_product_grid_0000_halm_3854A_XL.jpg.webp?itok=3cut0kM8
hero plus,Stacking chair 4613,/en/products/hero-plus-stacking-chair-1/?variant=4613,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/91723_lm_product_grid_hero_plus_4613_XL.jpg.webp?itok=HSFXudWw
hero plus flex,Stacking chair 4607,/en/products/hero-plus-flex-stacking-chair/?variant=4607,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/4607-110342_brunner_hero_plus_flex_4607_a46f_rechts_st46f_links_im_product_grid_xl.jpg.webp?itok=GX9SJWyu
fox,Stacking chair 1015,/en/products/fox-stacking-chair/?variant=1015,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63360_lm_product_grid_0011_fox_1015_40_front_schwarz_XL.jpg.webp?itok=RiinLap_
crona steel,Stacking chair 6340,/en/products/crona-steel-stacking-chair/?variant=6340,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63238_lm_product_grid_0001_crona_steel_6340_XL.jpg.webp?itok=8KbzEwc7
crona light bar,Bar stool 6310,/en/products/crona-light-bar-bar-stool/?variant=6310,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63223_lm_product_grid_0000_crona_light_bar_6310_XL.jpg.webp?itok=YNaPlmAm
